,arr_time,dep_time,dur_hours,dur_minutes,parse_time,fl_class,fl_from,fl_to
210,2013-05-28 18:35,2013-05-28 12:45,3,50,2013-05-10 23:51,E,MOW,PAR
211,2013-05-28 21:25,2013-05-28 15:55,3,30,2013-05-10 23:51,E,MOW,PAR
212,2013-05-29 05:00,2013-05-28 23:25,3,35,2013-05-10 23:51,E,MOW,PAR
213,2013-05-15 09:20,2013-05-15 07:25,3,55,2013-05-10 23:51,E,MOW,PAR
214,2013-05-15 11:40,2013-05-15 09:45,3,55,2013-05-10 23:51,E,MOW,PAR
215,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
216,2013-05-15 16:05,2013-05-15 14:10,3,55,2013-05-10 23:51,E,MOW,PAR
217,2013-05-15 17:00,2013-05-15 15:05,3,55,2013-05-10 23:51,E,MOW,PAR
218,2013-05-15 18:10,2013-05-15 16:15,3,55,2013-05-10 23:51,E,MOW,PAR
219,2013-05-28 17:20,2013-05-28 11:45,3,35,2013-05-10 23:51,E,MOW,PAR
220,2013-05-28 19:30,2013-05-28 14:00,3,30,2013-05-10 23:51,E,MOW,PAR
221,2013-05-28 23:45,2013-05-28 18:10,3,35,2013-05-10 23:51,E,MOW,PAR
222,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
223,2013-05-28 17:20,2013-05-28 11:45,3,35,2013-05-10 23:51,E,MOW,PAR
224,2013-05-28 19:30,2013-05-28 14:00,3,30,2013-05-10 23:51,E,MOW,PAR
225,2013-05-28 23:45,2013-05-28 18:10,3,35,2013-05-10 23:51,E,MOW,PAR
226,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
227,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
228,2013-05-15 16:05,2013-05-15 14:10,3,55,2013-05-10 23:51,E,MOW,PAR
229,2013-05-15 17:00,2013-05-15 15:05,3,55,2013-05-10 23:51,E,MOW,PAR
230,2013-05-28 13:10,2013-05-28 07:30,3,40,2013-05-10 23:51,E,MOW,PAR
231,2013-05-28 18:35,2013-05-28 12:45,3,50,2013-05-10 23:51,E,MOW,PAR
232,2013-05-28 21:40,2013-05-28 16:00,3,40,2013-05-10 23:51,E,MOW,PAR
233,2013-05-29 01:10,2013-05-28 19:30,3,40,2013-05-10 23:51,E,MOW,PAR
234,2013-05-15 09:20,2013-05-15 07:25,3,55,2013-05-10 23:51,E,MOW,PAR
235,2013-05-15 11:40,2013-05-15 09:45,3,55,2013-05-10 23:51,E,MOW,PAR
236,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
237,2013-05-15 16:05,2013-05-15 14:10,3,55,2013-05-10 23:51,E,MOW,PAR
238,2013-05-15 17:00,2013-05-15 15:05,3,55,2013-05-10 23:51,E,MOW,PAR
239,2013-05-15 18:10,2013-05-15 16:15,3,55,2013-05-10 23:51,E,MOW,PAR
240,2013-05-28 13:10,2013-05-28 07:30,3,40,2013-05-10 23:51,E,MOW,PAR
241,2013-05-29 01:10,2013-05-28 19:30,3,40,2013-05-10 23:51,E,MOW,PAR
242,2013-05-15 21:40,2013-05-15 19:45,3,55,2013-05-10 23:51,E,MOW,PAR
243,2013-05-28 15:15,2013-05-28 09:35,3,40,2013-05-10 23:51,E,MOW,PAR
244,2013-05-28 18:35,2013-05-28 12:45,3,50,2013-05-10 23:51,E,MOW,PAR
245,2013-05-28 21:25,2013-05-28 15:55,3,30,2013-05-10 23:51,E,MOW,PAR
246,2013-05-29 05:00,2013-05-28 23:25,3,35,2013-05-10 23:51,E,MOW,PAR
247,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
248,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
249,2013-05-15 16:05,2013-05-15 14:10,3,55,2013-05-10 23:51,E,MOW,PAR
250,2013-05-15 17:00,2013-05-15 15:05,3,55,2013-05-10 23:51,E,MOW,PAR
251,2013-05-28 23:45,2013-05-28 18:10,3,35,2013-05-10 23:51,E,MOW,PAR
252,2013-05-29 05:00,2013-05-28 23:25,3,35,2013-05-10 23:51,E,MOW,PAR
253,2013-05-15 09:20,2013-05-15 07:25,3,55,2013-05-10 23:51,E,MOW,PAR
254,2013-05-15 10:45,2013-05-15 08:50,3,55,2013-05-10 23:51,E,MOW,PAR
255,2013-05-15 11:40,2013-05-15 09:45,3,55,2013-05-10 23:51,E,MOW,PAR
256,2013-05-15 18:10,2013-05-15 16:15,3,55,2013-05-10 23:51,E,MOW,PAR
257,2013-05-15 21:40,2013-05-15 19:45,3,55,2013-05-10 23:51,E,MOW,PAR
258,2013-05-28 13:10,2013-05-28 07:30,3,40,2013-05-10 23:51,E,MOW,PAR
259,2013-05-28 18:35,2013-05-28 12:45,3,50,2013-05-10 23:51,E,MOW,PAR
260,2013-05-28 21:40,2013-05-28 16:00,3,40,2013-05-10 23:51,E,MOW,PAR
261,2013-05-29 01:10,2013-05-28 19:30,3,40,2013-05-10 23:51,E,MOW,PAR
262,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
263,2013-05-28 13:10,2013-05-28 07:30,3,40,2013-05-10 23:51,E,MOW,PAR
264,2013-05-29 01:10,2013-05-28 19:30,3,40,2013-05-10 23:51,E,MOW,PAR
265,2013-05-15 21:40,2013-05-15 19:45,3,55,2013-05-10 23:51,E,MOW,PAR
266,2013-05-28 17:20,2013-05-28 11:45,3,35,2013-05-10 23:51,E,MOW,PAR
267,2013-05-28 19:30,2013-05-28 14:00,3,30,2013-05-10 23:51,E,MOW,PAR
268,2013-05-28 23:45,2013-05-28 18:10,3,35,2013-05-10 23:51,E,MOW,PAR
269,2013-05-15 09:20,2013-05-15 07:25,3,55,2013-05-10 23:51,E,MOW,PAR
270,2013-05-15 10:45,2013-05-15 08:50,3,55,2013-05-10 23:51,E,MOW,PAR
271,2013-05-15 11:40,2013-05-15 09:45,3,55,2013-05-10 23:51,E,MOW,PAR
272,2013-05-15 18:10,2013-05-15 16:15,3,55,2013-05-10 23:51,E,MOW,PAR
273,2013-05-15 21:40,2013-05-15 19:45,3,55,2013-05-10 23:51,E,MOW,PAR
274,2013-05-28 23:45,2013-05-28 18:10,3,35,2013-05-10 23:51,E,MOW,PAR
275,2013-05-29 05:00,2013-05-28 23:25,3,35,2013-05-10 23:51,E,MOW,PAR
276,2013-05-15 22:20,2013-05-15 17:20,7,0,2013-05-10 23:51,E,MOW,PAR
277,2013-05-15 22:20,2013-05-15 18:50,5,30,2013-05-10 23:51,E,MOW,PAR
278,2013-05-28 20:05,2013-05-28 11:00,7,5,2013-05-10 23:51,E,MOW,PAR
279,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
280,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
